Date,Open,High,Low,Close,Adj Close,Volume
2020-12-10,0.306167,0.307326,0.291636,0.294348,0.294348,41624811
2020-12-11,0.294358,0.295071,0.277349,0.289890,0.289890,48422448
2020-12-12,0.289467,0.315384,0.289151,0.309844,0.309844,56942675
2020-12-13,0.309852,0.319520,0.305316,0.309143,0.309143,47397135
2020-12-14,0.309290,0.317659,0.304624,0.312755,0.312755,48466155
2020-12-15,0.312787,0.339525,0.312787,0.325476,0.325476,77662360
2020-12-16,0.325481,0.344005,0.319305,0.339955,0.339955,106922372
2020-12-17,0.340008,0.357296,0.325742,0.332126,0.332126,123624266
2020-12-18,0.332171,0.362649,0.317476,0.353863,0.353863,119453445
2020-12-19,0.353794,0.384040,0.350950,0.356627,0.356627,130789717
2020-12-20,0.356524,0.357207,0.330652,0.339005,0.339005,95694398
2020-12-21,0.339378,0.365059,0.314600,0.327331,0.327331,122394591
2020-12-22,0.326682,0.347495,0.318534,0.336887,0.336887,90816048
2020-12-23,0.336765,0.350679,0.269630,0.288886,0.288886,113589408
2020-12-24,0.289553,0.313906,0.282470,0.313906,0.313906,70852889
2020-12-25,0.313797,0.328793,0.304459,0.309744,0.309744,70992652
2020-12-26,0.309671,0.321201,0.301548,0.309320,0.309320,61623355
2020-12-27,0.309304,0.335082,0.302156,0.319123,0.319123,92973623
2020-12-28,0.319170,0.356278,0.316953,0.356239,0.356239,77096646
2020-12-29,0.356529,0.360831,0.320894,0.345918,0.345918,114394973
2020-12-30,0.345974,0.358485,0.328187,0.335543,0.335543,76007919
2020-12-31,0.335543,0.336157,0.319227,0.334040,0.334040,63753450
2021-01-01,0.334207,0.431286,0.332387,0.398129,0.398129,341885747
2021-01-02,0.398641,0.460714,0.385091,0.408091,0.408091,417148719
2021-01-03,0.407991,0.434376,0.399110,0.422767,0.422767,263098398
2021-01-04,0.424077,0.459522,0.370076,0.438666,0.438666,257108478
2021-01-05,0.441606,0.493420,0.405449,0.479429,0.479429,423192879
2021-01-06,0.479878,0.528184,0.460024,0.511315,0.511315,374099920
2021-01-07,0.511843,0.519041,0.451646,0.462823,0.462823,295341182
2021-01-08,0.462829,0.482120,0.413900,0.454769,0.454769,248294641
2021-01-09,0.454878,0.493216,0.436911,0.486242,0.486242,204728849
2021-01-10,0.486036,0.513874,0.420439,0.462031,0.462031,257910313
2021-01-11,0.461105,0.461105,0.374812,0.416987,0.416987,258262717
2021-01-12,0.416775,0.429860,0.392309,0.397690,0.397690,137219408
2021-01-13,0.397702,0.451952,0.382225,0.450746,0.450746,128842017
2021-01-14,0.450497,0.465894,0.430616,0.453648,0.453648,116642595
2021-01-15,0.454407,0.496806,0.430075,0.488370,0.488370,274399567
2021-01-16,0.487995,0.549804,0.485281,0.518892,0.518892,296573002
2021-01-17,0.519096,0.584311,0.488406,0.584057,0.584057,300743172
2021-01-18,0.584790,0.603813,0.543179,0.566100,0.566100,261142097
2021-01-19,0.566185,0.571700,0.517523,0.523486,0.523486,182636174
2021-01-20,0.522694,0.547745,0.486374,0.546025,0.546025,197111759
2021-01-21,0.546529,0.549395,0.451580,0.461539,0.461539,182613767
2021-01-22,0.461480,0.538519,0.432266,0.511024,0.511024,185139633
